"values","array"
10822.12,"C:"
10824.12,"C:"
10824.12,"C:"
10827.12,"C:"
10827.12,"C:"
10831.12,"C:"
10832.12,"C:"
10834.12,"C:"
10836.12,"C:"
10911.12,"C:"
10913.12,"C:"
10916.12,"C:"
10918.12,"C:"
10924.12,"C:"
10926.12,"C:"
10927.12,"C:"
10974.12,"C:"
10976.12,"C:"
11022.12,"C:"
11024.12,"C:"
11025.12,"C:"
11027.12,"C:"
11072.12,"C:"
11074.12,"C:"
11074.12,"C:"
11076.12,"C:"
11083.12,"C:"
11092.12,"C:"
11146.11,"C:"
11146.21,"C:"
11149.12,"C:"
11175.12,"C:"
11191.12,"C:"
11193.12,"C:"
11196.31,"C:"
11203.12,"C:"
11260.12,"C:"
11296.5,"C:"
11361.12,"C:"
11363.12,"C:"
11374.12,"C:"
11392.12,"C:"
11399.12,"C:"
11414.12,"C:"
11441.12,"C:"
11443.12,"C:"
11445.12,"C:"
11519.12,"C:"
11570.12,"C:"
11585.12,"C:"
11588.12,"C:"
11591.12,"C:"
11623.12,"C:"
11645.1,"C:"
11657.1,"C:"
11683.12,"C:"
11694.1,"C:"
11710.12,"C:"
11717.12,"C:"
11725.12,"C:"
11744.12,"C:"
11748.12,"C:"
11750.12,"C:"
11752.12,"C:"
11754.12,"C:"
11764.1,"C:"
11774.1,"C:"
11784.1,"C:"
11794.12,"C:"
11797.12,"C:"
11798.12,"C:"
11809.12,"C:"
11820.1,"C:"
11834.12,"C:"
11859.12,"C:"
11878.1,"C:"
11894.1,"C:"
11898.1,"C:"
11898.2,"C:"
11905.12,"C:"
11948.3,"C:"
12048.53,"C:"
12059.12,"C:"
12060.12,"C:"
12129.12,"C:"
12130.12,"C:"
12132.12,"C:"
12133.12,"C:"
12146.12,"C:"
12148.12,"C:"
12215.12,"C:"
12225.12,"C:"
12234.1,"C:"
12234.13,"C:"
12253.12,"C:"
12254.12,"C:"
12264.12,"C:"
12271.12,"C:"
12272.12,"C:"
12276.12,"C:"
12286.12,"C:"
12288.12,"C:"
12290.12,"C:"
12292.12,"C:"
12296.12,"C:"
12301.12,"C:"
12302.12,"C:"
12317.12,"C:"
12319.12,"C:"
12339.12,"C:"
12343.12,"C:"
12371.12,"C:"
12373.12,"C:"
12375.12,"C:"
12381.12,"C:"
12463.12,"C:"
12545.12,"C:"
12642.1,"C:"
12642.13,"C:"
12652.1,"C:"
12652.13,"C:"
12705.1,"C:"
12705.13,"C:"
12730.1,"C:"
12730.13,"C:"
12743.1,"C:"
12743.13,"C:"
12748.12,"C:"
12769.1,"C:"
12769.13,"C:"
12786.1,"C:"
12786.13,"C:"
12789.1,"C:"
12789.13,"C:"
12799.1,"C:"
12799.13,"C:"
12811.1,"C:"
12811.13,"C:"
12816.1,"C:"
12816.13,"C:"
12824.1,"C:"
12824.13,"C:"
12827.1,"C:"
12827.13,"C:"
12839.12,"C:"
12864.1,"C:"
12864.13,"C:"
12880.12,"C:"
12900.1,"C:"
12900.13,"C:"
12911.1,"C:"
12911.13,"C:"
12916.1,"C:"
12916.13,"C:"
12918.1,"C:"
12918.13,"C:"
12921.1,"C:"
12921.13,"C:"
12927.12,"C:"
12938.12,"C:"
12955.1,"C:"
12955.13,"C:"
12959.1,"C:"
12959.13,"C:"
12963.1,"C:"
12963.13,"C:"
12966.1,"C:"
12966.13,"C:"
12971.1,"C:"
12971.13,"C:"
12992.1,"C:"
12992.13,"C:"
12997.1,"C:"
12997.13,"C:"
12999.1,"C:"
12999.13,"C:"
13030.1,"C:"
13030.13,"C:"
13034.1,"C:"
13034.13,"C:"
13048.1,"C:"
13048.13,"C:"
13052.1,"C:"
13052.13,"C:"
13053.1,"C:"
13053.13,"C:"
13055.1,"C:"
13055.13,"C:"
13065.12,"C:"
13076.12,"C:"
13090.1,"C:"
13090.13,"C:"
13096.1,"C:"
13096.13,"C:"
13110.1,"C:"
13110.13,"C:"
13128.1,"C:"
13128.13,"C:"
13132.1,"C:"
13132.13,"C:"
13142.1,"C:"
13142.13,"C:"
13146.1,"C:"
13146.13,"C:"
13213.1,"C:"
13213.13,"C:"
13227.1,"C:"
13227.13,"C:"
13234.12,"C:"
13251.12,"C:"
13263.1,"C:"
13263.13,"C:"
13267.1,"C:"
13267.13,"C:"
13279.12,"C:"
13324.1,"C:"
13324.13,"C:"
13340.1,"C:"
13340.13,"C:"
13346.1,"C:"
13346.13,"C:"
13352.1,"C:"
13352.13,"C:"
13405.1,"C:"
13405.13,"C:"
13414.1,"C:"
13414.13,"C:"
13416.1,"C:"
13416.13,"C:"
13421.1,"C:"
13421.13,"C:"
13424.1,"C:"
13424.13,"C:"
13428.12,"C:"
13450.1,"C:"
13450.13,"C:"
13455.1,"C:"
13455.13,"C:"
13461.1,"C:"
13461.13,"C:"
13464.1,"C:"
13464.13,"C:"
13465.1,"C:"
13465.13,"C:"
13471.12,"C:"
13516.1,"C:"
13516.13,"C:"
13524.12,"C:"
13538.1,"C:"
13538.13,"C:"
13546.1,"C:"
13546.13,"C:"
13601.1,"C:"
13601.13,"C:"
13607.1,"C:"
13607.13,"C:"
13618.1,"C:"
13618.13,"C:"
13621.1,"C:"
13621.13,"C:"
13627.12,"C:"
13631.12,"C:"
13646.12,"C:"
13647.12,"C:"
13653.12,"C:"
13672.12,"C:"
13673.12,"C:"
13674.12,"C:"
13699.12,"C:"
13705.12,"C:"
13734.1,"C:"
13734.13,"C:"
13744.1,"C:"
13744.13,"C:"
13750.1,"C:"
13750.13,"C:"
13754.1,"C:"
13754.13,"C:"
13758.1,"C:"
13758.13,"C:"
13761.1,"C:"
13761.13,"C:"
13783.1,"C:"
13783.13,"C:"
13798.12,"C:"
13809.12,"C:"
13848.33,"C:"
13857.12,"C:"
13859.12,"C:"
13864.12,"C:"
13871.12,"C:"
13878.12,"C:"
13885.12,"C:"
13888.12,"C:"
13891.12,"C:"
13907.12,"C:"
13913.12,"C:"
13914.12,"C:"
13916.12,"C:"
13917.12,"C:"
13919.12,"C:"
13928.12,"C:"
13930.12,"C:"
13940.12,"C:"
13941.12,"C:"
13948.51,"C:"
13960.12,"C:"
13962.12,"C:"
13963.12,"C:"
14022.12,"C:"
14081.12,"C:"
14081.12,"C:"
14087.12,"C:"
14105.12,"C:"
14107.12,"C:"
14110.12,"C:"
14120.12,"C:"
14139.12,"C:"
14140.12,"C:"
14140.12,"C:"
14153.12,"C:"
14161.12,"C:"
14163.12,"C:"
14184.12,"C:"
14189.12,"C:"
14233.12,"C:"
14242.12,"C:"
14244.12,"C:"
